id,title,download_count
3825,Pygmalion,4529
37106,"Little Women; Or, Meg, Jo, Beth, and Amy",4521
43453,A Pickle for the Knowing Ones,4496
121,Northanger Abbey,4467
25717,The History of the Decline and Fall of the Roman Empire: Table of Contents with links in the HTML file to the two Project Gutenberg editions (12 volumes),4382
209,The Turn of the Screw,4345
2641,A Room with a View,4328
4217,A Portrait of the Artist as a Young Man,4313
1228,"On the Origin of Species By Means of Natural Selection: Or, the Preservation of Favoured Races in the Struggle for Life",4312
2848,Antiquities of the Jews,4283
23042,The Tempest: The Works of William Shakespeare [Cambridge Edition] [9 vols.],4201
21279,2 B R 0 2 B,4192
13701,"The Philippine Islands, 1493-1898 — Volume 07 of 55: 1588-1591; Explorations by Early Navigators, Descriptions of the Islands and Their Peoples, Their History and Records of the Catholic Missions, as Related in Contemporaneous Books and Manuscripts, Showing the Political, Economic, Commercial and Religious Conditions of Those Islands from Their Earliest Relations with European Nations to the Close of the Nineteenth Century",4160
8438,The Ethics of Aristotle,4132
140,The Jungle,4037
1837,The Prince and the Pauper,4027
10623,Plays,3972
308,Three Men in a Boat (To Say Nothing of the Dog),3956
10676,The Reign of Greed,3955
45502,How the Other Half Lives: Studies Among the Tenements of New York,3954
26,Paradise Lost,3945
1974,The Poetics of Aristotle,3923
2097,The Sign of the Four,3919
164,Twenty Thousand Leagues under the Sea,3837
15272,"Spenser's The Faerie Queene, Book I",3828
67990,Toodle and Noodle Flat-tail: The Jolly Beaver Boys,3783
55201,The Republic of Plato,3764
27673,Oedipus King of Thebes: Translated into English Rhyming Verse with Explanatory Notes,3760
932,The Fall of the House of Usher,3738
2638,The Idiot,3736
1524,"Hamlet, Prince of Denmark",3667
10615,"An Essay Concerning Humane Understanding, Volume 1: MDCXC, Based on the 2nd Edition, Books 1 and 2",3657
