id,title,download_count
1513,Romeo and Juliet,68248
84,"Frankenstein; Or, The Modern Prometheus",58506
1342,Pride and Prejudice,58114
2701,"Moby Dick; Or, The Whale",49674
25344,The Scarlet Letter,34410
145,Middlemarch,31517
11,Alice's Adventures in Wonderland,29704
67979,The Blue Castle: a novel,28031
345,Dracula,26457
64317,The Great Gatsby,24469
174,The Picture of Dorian Gray,24052
394,Cranford,23844
1952,The Yellow Wallpaper,22571
2160,The Expedition of Humphry Clinker,21649
1259,Twenty years after,21415
5200,Metamorphosis,20548
1080,"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",20402
4085,The Adventures of Roderick Random,19867
5197,My Life — Volume 1,19283
6761,The Adventures of Ferdinand Count Fathom — Complete,18585
6593,"History of Tom Jones, a Foundling",18476
2542,A Doll's House : a play,18269
6130,The Iliad,17735
98,A Tale of Two Cities,17107
16328,Beowulf: An Anglo-Saxon Epic Poem,16620
1399,Anna Karenina,16508
408,The Souls of Black Folk,16356
1661,The Adventures of Sherlock Holmes,16268
844,The Importance of Being Earnest: A Trivial Comedy for Serious People,15230
1232,The Prince,14966
28054,The Brothers Karamazov,14882
43,The Strange Case of Dr. Jekyll and Mr. Hyde,14687
